id,pcat_id,code,field1,field2,field3,field4,field5,field6
364,57,BON-Chainsaw-BAR-Chinese-003,"Compatible with BAR LENGTH : 22”
DRIVE LINKS : 86
PITCH : 325”
GAUGE : .058” (1,5MM)",,,,,
365,0,,,,,,,
366,58,ESPADA-CON-PUNTA-DURA,Model,Brand,Dimensions,,,
367,58,HE-HARDBAR-001,"Compatible with BAR 18""",HUSQVARNA,"18"" 0.325 058 72E KO95",,,
368,58,HE-HARDBAR-002,"Compatible with BAR 18""",HUSQVARNA,"18"" 0.325 050 72E KO95",,,
369,58,HE-HARDBAR-003,"Compatible with BAR 18""",STIHL,"18"" 0.325 063 68E A074",,,
370,58,HE-HARDBAR-004,"Compatible with BAR 24""",STIHL,"24’ .063, 3/8 84 DL D025",,,
371,58,HE-HARDBAR-005,"Compatible with BAR 28""",STIHL,"28"" .050 3/8 91 E D025",,,
372,58,HE-HARDBAR-006,"Compatible with BAR 30""",STIHL,"30’ .063,3/8 97 DL D025",,,
373,58,HE-HARDBAR-007,"Compatible with BAR 36""",STIHL,"36"" .063, 3/8 114 DL DO25",,,
374,58,HE-HARDBAR-008,"Compatible with BAR 28""",HUSQVARNA,"28"" 3/8 0.058 92 E D009",,,
375,58,HE-HARDBAR-009,"Compatible with BAR 28""",HUSQVARNA,"28"" .063, 3/8 92 DL D009",,,
376,58,HE-HARDBAR-010,"Compatible with BAR 36""",HUSQVARNA,"36"" .404, 063 104E D009",,,
377,59,ARRANCADOR,Model,Brand,,,,
378,59,BON-STARTER-001,"Compatible with TL43 (Brushcutter/
Brushcutter
China 43 CC)",MITSUBISHI,,,,
379,59,BON-STARTER-002,"Compatible with Honda GX120 GX160
GX200 55 HP 65
HP ENGINE",Honda,,,,
380,59,BON-STARTER-003,"Compatible with Honda GX240 GX270
8HP 9HP",Honda,,,,
381,59,BON-STARTER-004,"Compatible with Honda GX340 GX390
GX610 11HP 13HP",Honda,,,,
382,59,BON-STARTER-005,"Compatible with 4500/5200/5800
(Chainsaw China
45CC,52CC & 58 CC)",Chainsaw Chinese/ZENOAH,,,,
383,59,BON-STARTER-006,Compatible with MS-660,STIHL,,,,
384,59,BON-STARTER-007,Compatible with MS-381,STIHL,,,,
385,59,BON-STARTER-008,Compatible with HUS 288,HUSQVARNA,,,,
386,59,BON-STARTER-009,Compatible with FS-280,STIHL,,,,
387,59,BON-STARTER-010,"Compatible with HUS 143 RII
",HUSQVARNA,,,,
388,59,BON-STARTER-011,"Compatible with MS-170/180
",STIHL,,,,
389,59,BON-STARTER-012,"Compatible with MS-250
",STIHL,,,,
390,59,BON-STARTER-013,"Compatible with B45
",SHINDAIWA,,,,
391,59,BON-STARTER-014,"Compatible with OLEO MAC 746, 750, 753,
755, 446, 450, 453
",OLEOMAC,,,,
392,59,BON-STARTER-015,Compatible with FS-120,STIHL,,,,
393,59,BON-STARTER-016,Compatible with HUS-365,HUSQVARNA,,,,
394,59,BON-STARTER-017,"Compatible with HUSQVARNA 61 266
268 272 268K 272K
268XP 272XP",HUSQVARNA,,,,
395,59,BON-STARTER-018,"Compatible with HUSQVARNA 340-350
",HUSQVARNA,,,,
396,59,BON-STARTER-019,"Compatible with STIHL FS38 FS45
FS46 FS55",STIHL,,,,
397,59,BON-STARTER-020,"Compatible with TL26
",MITSUBISHI,,,,
398,59,BON-STARTER-021,"Compatible with TL33 (Brushcutter/
Brushcutter China)",MITSUBISHI,,,,
399,59,BON-STARTER-022,Compatible with 328,TANAKA,,,,
400,59,BON-STARTER-023,"Compatible with 328
TANAKA",TANAKA,,,,
401,59,BON-STARTER-024,Compatible with 32F,HUSQUARNA,,,,
402,59,BON-STARTER-025,Compatible with EC025,ROBIN,,,,
403,59,BON-STARTER-026,Compatible with G35L,ZENOAH,,,,
404,59,BON-STARTER-027,Compatible with G4K,ZENOAH,,,,
405,59,BON-STARTER-028,Compatible with GX25,Honda,,,,
406,59,BON-STARTER-029,Compatible with HS139,HUSQUARNA,,,,
407,59,BON-STARTER-030,Compatible with HS139-2,HUSQUARNA,,,,
408,59,BON-STARTER-031,Compatible with HS48F,HUSQUARNA,,,,
409,59,BON-STARTER-032,Compatible with NB411,ROBIN,,,,
410,59,BON-STARTER-033,Compatible with TH26,KAWASAKI,,,,
411,59,BON-STARTER-034,Compatible with XD40-5,MITSUBISHI,,,,
412,59,BON-STARTER-035,Compatible with 423LC,SOLO,,,,
413,59,BON-STARTER-036,Compatible with 6010,ZENOAH,,,,
414,59,BON-STARTER-037,Compatible with GX35,Honda,,,,
415,59,BON-STARTER-038,Compatible with GX35,Honda,,,,
416,59,BON-STARTER-039,Compatible with TJ45,KAWASAKI,,,,
417,59,BON-STARTER-040,"Compatible with 32F
",HUSQUARNA,,,,
418,59,BON-STARTER-041,"Compatible with 32F
",HUSQUARNA,,,,
419,59,BON-STARTER-042,"Compatible with 47F
",HUSQUARNA,,,,
420,59,BON-STARTER-043,"Compatible with EH035
",ROBIN,,,,
421,59,BON-STARTER-044,"Compatible with G23
",ZENOAH,,,,
422,59,BON-STARTER-045,"Compatible with G35L
",ZENOAH,,,,
